,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
454,784973830,IPHONE X FLAWLESS UNLOCKED FACTORY,450,Reconditioned/Certified,GREAT CONDITION IPHONE X FACTORY UNLOCKED 64g ,3,No delivery INFO!,"Ships from Winston-Salem, NC for $7.49",,"Winston-Salem, NC",7.49,"Winston-Salem, NC",Winston-Salem, NC,2 hours 
455,763656616,Iphone X unlocked,490,Used (normal wear),64GB unlocked with Box Very good condition ,4,Local pickup (26 miles away),No shipping INFO!,26.0,,,"El Cajon, CA",El Cajon, CA,1 month 
456,763524957,Brand heckin new iPhone X,700,New (never used),"Brand new black iPhone X in perfect condition, never used Charger and headphones not included",4,Local pickup (44 miles away),No shipping INFO!,44.0,,,"San Clemente, CA",San Clemente, CA,1 month 
457,763392259,IPHONE X,500,Used (normal wear),"IPhone X, used but in great condition. No cracks or damage. ",2,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,1 month 
458,762933657,iPhone X 64GB,550,Used (normal wear),My phone is a year old I bought it last year in September. The tempered glass protector is cracked but not the actual screen. It has been in a tech 21 phone case since purchase never taken out of the case. (Case included with phone) battery life is still great. No damage to the phone. Charger and charge box included. ,2,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,1 month 
459,762867128,iPhone X,525,Used (normal wear),64g T-Mobile Great condition ,2,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Lakeside, CA",Lakeside, CA,1 month 
460,784436515,Apple iphone x 256gb silver,400,Open box (never used),Open box No trades No black list Unlocked carrier All accessories are included No dents or scratches Ready to use ,6,No delivery INFO!,"Ships from New York, NY for $7.49",,"New York, NY",7.49,"New York, NY",New York, NY,2 hours 
461,762241236,iPhone X 256GB,560,Used (normal wear),"Black. Pretty much has been in a case the whole time being used with screen protector. Only had it for a year. No scratches anywhere, basically like new. T-Mobile. ",8,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,1 month 
462,761926887,iphone x 256 gb,500,Reconditioned/Certified,perfect condition UNLOCKED FOR ANY CARRIER ,2,Local pickup (26 miles away),No shipping INFO!,26.0,,,"San Diego, CA",San Diego, CA,1 month 
463,760988405,iPhone X 256gig AT&T,475,Used (normal wear),iphone x for sale.  MUST PURCHASE THROUGH OFFER UP.  Asking $475 or best offer. small crack bottom left on the back of phone.,2,Local pickup (9 miles away),Ships for $3.29,9.0,,3.29,"San Diego, CA",San Diego, CA,1 month 
464,760934580,iPhone X 64 gb unlock . AT&T 📱 . verizon📱 . Cricket 📱 . sprint 📱 . Boost Mobile 📱 . Metro by T-Mobile 📱 ANY ANY SIMCARD 🌎 WILL WORK WITH TH,600,Used (normal wear),. AT&T  📱. verizon📱. Cricket  📱. sprint 📱. Boost Mobile 📱. Metro by T-Mobile  📱ANY ANY SIMCARD  🌎 WILL WORK WITH THIS FLAWLESS PHONES 📲 ,2,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Escondido, CA",Escondido, CA,1 month 
465,759754482,IPhone X 256 GB-Black/ Unlocked,650,Used (normal wear),"I only have this phone for 11 months, I brought it brand new! Still in Excellent Condition. -256GB / Color-Black -White Apple Silicon Case ++ -3D Tempered Glass Screen Protector -Still have Original IPhone Box & Headphones ",1,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Escondido, CA",Escondido, CA,1 month 
466,759949879,iphone x,600,Used (normal wear),black iphone x64 gb phone cases for free ,3,Local pickup (24 miles away),No shipping INFO!,24.0,,,"El Cajon, CA",El Cajon, CA,1 month 
467,759928033,iPhone X 64GB Sprint $600,600,Used (normal wear),iPhone X 64GB Sprint $600 ,4,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 month 
468,759687750,Apple iPad Pro 12.5 keyboard,75,Open box (never used),"Smart Keyboard for Apple iPad Pro 12.5...no box included, pickup in pacific beachiPad iPod MacBook iMac pro retina x xr 11 iPhone",2,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,1 month 
469,758793436,iPhone X 256 GB Silver,700,New (never used),"iPhone X 246 GB Silver-New in box, Never used . Ph. Locked, Verizon carrier. You buy ph. I pay off ph. Bal. Verizon will unlock ph. ",2,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,1 month 
470,758795574,iPhone x,500,Used (normal wear),At&t,2,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,1 month 
471,758740607,iPhone X,575,New (never used),iPhone X brand new Includes all accessories including earphones Low ballers will be ignored ,2,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Poway, CA",Poway, CA,1 month 
472,758468435,IPhone X 256GB,650,Used (normal wear),Please read the description: In a great used condition gray iPhone X 256 GB Bundle 1 $650 just the iPhone X/ w chargerBundle 2 $700 with extra covers and cases Bundle 3 $800 with Bose SoundSport Free wireless headphones including the iPhone covers and cases. Bundle 4 $840 with covers and cases & apple AirPods contact me for more info. Bundle 5 $1100 with your choice of AirPods or Bose wireless headset and Apple Watch 4th generation including the covers and cases. Which bundle do you want contact me for more info thank you. And have a great day. ,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
473,758385492,Iphone x 256 gb,550,Used (normal wear),Just got it replace with apple care T mobile.No i cloud ,3,Local pickup (28 miles away),No shipping INFO!,28.0,,,"San Diego, CA",San Diego, CA,1 month 
474,758020920,iPhone X,525,Open box (never used),525 unblocked T-Mobile ,4,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
475,757822802,iPhone X for sale.!!! Make offer!,300,Used (normal wear),iPhone X for sale. It has a cracked screen on both the front and backs,1,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,1 month 
476,785029243,iPhone X 256GB - Unlocked (Black),375,New (never used),Factory UnlockedComes with charger and headphonesSerious Inquires Only ,2,No delivery INFO!,"Ships from Los Angeles, CA for $7.49",,"Los Angeles, CA",7.49,"Los Angeles, CA",Los Angeles, CA,1 hour 
477,757241902,iPhone X 64 gb Space Gray,580,New (never used),Brand new... NEVER used before ,4,Local pickup (27 miles away),No shipping INFO!,27.0,,,No location INFO!,,,1 month 
478,756922372,Apple IPhone X 64 GB (Verizon unlocked),500,Used (normal wear),"Excellent condition on front, minor cracks on the back (see photo)Will throw in a used Mous Black Case (retail 60-80$). ",2,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,1 month 
479,756833215,iPhone X (XS) For Parts,195,Used (normal wear),Simply for partsPick UpShoot me a better offerWilling to negotiate or trade for iPhone 7 iPhone 8 or iPhone X iPhone XS,5,Local pickup (25 miles away),Ships for $3.29,25.0,,3.29,"San Diego, CA",San Diego, CA,1 month 
480,756689501,iPhone X (T-Mobile),500,Used (normal wear),iPhone X like new. Will come with a screen protector and different cases for the phone. ,3,Local pickup (27 miles away),No shipping INFO!,27.0,,,"San Diego, CA",San Diego, CA,1 month 
481,756404520,iPhone 7,160,Open box (never used),Used for 3 month. In excellent condition trying to sell to buy the iPhone 11. 32 Gb works like it was new. Willing to trade if you have a iPhone X or Xr plus some cash. Firm on priceUNLOCKED FOR ANY CARRIER  Pick up only Someone already willing to buy it for 150 I’ll take any price that goes higher than that!170 is the top bid! ,6,Local pickup (18 miles away),No shipping INFO!,18.0,,,"La Mesa, CA",La Mesa, CA,1 month 
482,756074570,Iphone X -Black,300,Used (normal wear),"Apple IPhone X, Black 256 GB, ModelIMEI Number: 353041092685921Broken Back , (Price $300) ",2,Local pickup (50 miles away),No shipping INFO!,50.0,,,"MONARCH BAY, CA",MONARCH BAY, CA,1 month 
483,755777529,DJI OSMO Mobile,170,New (never used),Silver/White Never been used.Opened the box but it does not work with my iphone x max only smaller screens. Comes with usb charger and a really cool bag with a wrist handle to carry it around. ,3,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Escondido, CA",Escondido, CA,1 month 
484,755571403,iPhone XS 64gb,650,Used (normal wear),"Unlocked iPhone XS 64gb Originally on Verizon.Clean imei, no locks.comes with case and charger.650 obo. Or willing to trade for an iPhone 8 , iPhone XR, iPhone X with some cash on top. Must work for T-Mobile ",2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"Encinitas, CA",Encinitas, CA,1 month 
485,755081197,iPhone X practically new,500,Open box (never used),Like new iPh1 X unlocked no scratches and absolutely nothing wrong with the ph1 256gb text or call if your interested {contact info removed} texting works better for me ,7,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
486,754905967,Surface Pro 3 128GB,350,Used (normal wear),350 or better offer. Would trade for a MacBook or an iPhone X/XR. NO SHIPPING!,3,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
487,785029784,iPhone X 256GB - Factory Unlocked,375,New (never used),UnlockedComes with original packagingSerious Inquires Only ,4,No delivery INFO!,"Ships from Los Angeles, CA for $7.49",,"Los Angeles, CA",7.49,"Los Angeles, CA",Los Angeles, CA,1 hour 
488,537883446,Apple Iphone X 256Gb factory unlocked,800,Used (normal wear),It's used like new 10/10 condition no signs of use has couple months of warranty left comes with charge USB cord please no low offers thanks ,8,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Spring Valley, CA",Spring Valley, CA,1 month 
489,744017443,iPhone 7 plus,250,Reconditioned/Certified,Good condition iPhone 7 plus . It's from sprint played off it's my old phone no I cloud . I've had it for 2 years . Brand new screen put on today . I have the iPhone x so dont need this one . Its not unlocked for any carrier but I think u can pay to unlock it at a cell phone shop if youd like . I'm asking 250 obo .. and no I won't take 100 or trades the screen it self was 120,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Lemon Grove, CA",Lemon Grove, CA,1 month 
490,754402278,IPHONE X 64gb got it brand new 8 months ago it’s like brand new always case protected !!!,580,Used (normal wear),64gbiPhone XGte ir now 580$,5,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Escondido, CA",Escondido, CA,1 month 
491,754102389,IPHONE X 256GB ANY CARRIER,500,Used (normal wear),"Don’t want it anymore , I’m upgrading to a new phone ! ",1,Local pickup (16 miles away),No shipping INFO!,16.0,,,"National City, CA",National City, CA,1 month 
492,753885761,256 GB - Space Grey - iPhone X,520,Open box (never used),No description. Ask seller for more details,3,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 month 
493,753807394,"Iphone X, Xs case",180,Used (normal wear),"Price is firm, auth with box and receipt",3,Local pickup (11 miles away),Ships for $3.29,11.0,,3.29,"San Diego, CA",San Diego, CA,1 month 
494,753647593,iPhone X (64 GB) (Cracked),300,Other (see description),iPhone X cracked in the front a little bit. Back is shattered but can still be fixed. (Phone still works great) with Sprint.  Serious inquires only.,11,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,1 month 
495,753468750,IPhone X unlock from factory 256gb,599,Reconditioned/Certified,"Cash Only iPhone X - 256GbSee pics. Comes with Box and original APPLE accessories Unlocked for all carriers: AT&T, CricKet, T-Mobile, Metro PCS, Telcel, Verizon, Sprint overseas etc. Clean IMEIBring your SIM card and make a test call!Reset Back to Factory Settings. There is NO iCloud lock or any activation lock. It’s fully wiped and ready for you to use the phone. ",4,Local pickup (8 miles away),No shipping INFO!,8.0,,,"San Diego, CA",San Diego, CA,1 month 
496,753236912,Verizon iPhone X 64gb,500,Used (normal wear),Verizon iPhone X 64gb no cracked glass or anything comes with charger. I have always taken care of this phone. It is not black listed message me and I can give you the IMEI number . The phone itself is under apple warranty until the end of the year. ,5,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
497,752994633,iPhone x,650,New (never used),Brand new iPhone X Silver 256GUnlocked 650 obo ( reasonable offers )Cash only !! ,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Lemon Grove, CA",Lemon Grove, CA,1 month 
498,752522777,iphone x,425,Used (normal wear),64 gb trying to get rid of it have a new phone unlocked to any carrier front screen is great condition the back is cracked works good battery life still great no glitch all good ,3,Local pickup (48 miles away),No shipping INFO!,48.0,,,"San Clemente, CA",San Clemente, CA,1 month 
499,752283932,iPhone X at&t,500,Used (normal wear),"iPhone X black in good condition works great , no issues no cracks 64g",3,Local pickup (22 miles away),No shipping INFO!,22.0,,,"Chula Vista, CA",Chula Vista, CA,2 months 
500,751688151,iPhone 7 Plus for an Xs,350,Used (normal wear),Willing to trade my iPhone 7+ for an IPhone X and some cash.Or willing to let it go for $350Not broken or any scratches.I took very good care of it.128 GBATT & Cricket ,5,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Lemon Grove, CA",Lemon Grove, CA,2 months 
501,751134857,iphone x,450,Reconditioned/Certified,iphone x unlocked good conditionsT mobile ! unlocked’ any company 64 gbFULL PAY OFF!!,2,Local pickup (17 miles away),Ships for $3.29,17.0,,3.29,"Lincoln Acres, CA",Lincoln Acres, CA,2 months 
502,750563657,iPhone X 64gb unlocked or trade (needs screen replacement),350,Used (normal wear),Hello I’m selling iPhone X or trade for older model unlocked 64 gb need screen replacement 1/4 part of the screen it’s dead but can still use Just needs a new screen and will work perfectly fine 70 dollars iPhone X screen on eBay It’s unlocked for any carrier ,2,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Lincoln Acres, CA",Lincoln Acres, CA,2 months 
503,750470116,iphone x 256 gigas i cloud loked!! for parts only!!,140,Used (normal wear),No description. Ask seller for more details,4,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Spring Valley, CA",Spring Valley, CA,2 months 
504,785035283,Apple iPhone X (FACTORY UNLOCKED) 256GB SPACE GRAY-Very Good Condition,460,Used (normal wear),"Product InformationThis Apple iPhone X in Space Gray has features that make it easier, quicker, and safer to use. This model comes with a next-generation Apple iOS and Hexa Core processor for quick access to applications and networks. It also features 256GB of internal storage for uninterrupted usage. The 5.8-inch screen has Super Retina HD Technology and increased contrast ratio for bold colors. Enhanced glass and shell reinforcement minimizes damage and increases dust and water resistance. Face-recognition technology means no one else can access your phone. This device has been unlocked, pre-cleaned and polished with specialized cleanser and reset to factory settings.",6,No delivery INFO!,"Ships from Houston, TX for $7.49",,"Houston, TX",7.49,"Houston, TX",Houston, TX,56 minutes 
505,750247183,Unlocked iPhone X,700,Used (normal wear),"In perfect condition, completely unlocked for any carrier ",8,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Chula Vista, CA",Chula Vista, CA,2 months 
506,749836698,iPhone X,600,Used (normal wear),It’s has a small crack on the corner ,2,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,2 months 
507,749471273,iPhone X 64 gb UNLOCKED,800,Used (normal wear),No description. Ask seller for more details,5,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,2 months 
508,748994357,iPhone X - T-Mobile,550,Reconditioned/Certified,-Like new iPhone X-64 GB-Comes with charger-No scratches.,2,Local pickup (2 miles away),No shipping INFO!,2.0,,,"La Jolla, CA",La Jolla, CA,2 months 
509,748581732,IPHONE X 256GB UNLOCKED FOR ANY CARRIER WITH BRAND NEW ACCESSORIES 👈🏼,649.99,Open box (never used),IPHONE X 256GB UNLOCKEDCLEAN IMEI CASH ONLYSmall black mark on screen other than perfect condition price is negotiable👈🏼,6,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Escondido, CA",Escondido, CA,2 months 
510,747218684,Iphone x,700,Open box (never used),No description. Ask seller for more details,4,Local pickup (27 miles away),No shipping INFO!,27.0,,,"San Diego, CA",San Diego, CA,2 months 
511,747091692,Brand New IPhone X 256G unlocked,750,New (never used),Brand brand new iPhone X got it from the apple store 1 month ago always kept in the case and always had a screen protector. I took the protector off the phone for picture purposes. Will include original box. Selling it because I want to get the latest and greatest,3,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,2 months 
512,746822748,Iphone x 64gb T mobile but can be used for other carriers.,500,Used (normal wear),Works great like never. Everything works. Clean esn. Can verify at my local t mobile store if desired. Good clean condition ,1,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,2 months 
513,733873169,iPhone x unlocked,800,New (never used),Unlocked for any network iphone x 256gb new in the box plastic sealed,5,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,2 months 
514,746304803,Iphone XS MAX 256gb color silver unlocked brand new in the box,1100,New (never used),This is the iPhone x s Max brand new in the box sealed 256gb unlocked brought back directly from Foxconn,3,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,2 months 
515,746161810,IPhone 7 Plus T-mobile 128 GB,380,Used (normal wear),Phone works great I’m getting rid of it because I upgraded to an IPhone X phone quality is amazing and the storage is 128GB the price isn’t firm,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,2 months 
516,745779303,iPhone X 256GB unlocked used 5 months only,650,Reconditioned/Certified," iPhone X 256GB Unlocked Used 5months only, the box and all the accessories are available. Receipt and box all available ",3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,2 months 
517,745626641,Iphonex,300,Used (normal wear),Iphone x for sale no iCloud and unlock the only problem is that it has a small crack in the back.,1,Local pickup (26 miles away),No shipping INFO!,26.0,,,"San Diego, CA",San Diego, CA,2 months 
518,745512699,Iphone X,700,Open box (never used),Iphone x 64gb space gray,2,Local pickup (27 miles away),No shipping INFO!,27.0,,,"San Diego, CA",San Diego, CA,2 months 
519,745353571,Iphone X Blocked,350,Used (normal wear),Iphone x ! In good condition . Blocked.,2,Local pickup (22 miles away),No shipping INFO!,22.0,,,"San Diego, CA",San Diego, CA,2 months 
